release_year,runtime_minutes,success_class,log_budget,log_google_trends_average,is_summer_release,is_holiday_release,genre_count,is_franchise,num_production_companies,country_count,language_count,is_english,director_avg_gross,writer_avg_gross,creative_type_encoded,genre_Action,genre_Adventure,genre_Black Comedy,genre_Comedy,genre_Concert/Performance,genre_Documentary,genre_Drama,genre_Horror,genre_Multiple Genres,genre_Musical,genre_Reality,genre_Romantic Comedy,genre_Thriller/Suspense,genre_Unknown,genre_Western,primary_genre_encoded
2010,102.0,1.0,19.11382792951231,3.088105593685006,1,0,1,1,2,2,1,1,20.284706275896255,20.149440309746996,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,125.0,1.0,19.11382792951231,3.0243510788596435,1,0,1,1,1,2,1,1,18.18827511538098,20.624125974163192,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,125.0,1.0,19.11382792951231,3.5395558150349937,0,0,1,1,3,2,1,1,0.0,20.217003493150706,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,125.0,1.0,19.11382792951231,3.033711521619207,0,0,1,1,1,2,1,1,0.0,0.0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,125.0,1.0,19.11382792951231,3.033711521619207,1,0,1,1,3,2,1,1,17.350978538417067,20.529596100039086,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,105.0,1.0,19.11382792951231,3.2753171357731525,0,0,1,0,0,1,1,0,18.411065711382534,19.68427589759767,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2010,108.0,1.0,19.11382792951231,3.730733174286711,0,0,1,1,3,2,1,1,18.65978580055561,19.726307765129487,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,125.0,1.0,19.11382792951231,3.544226538145552,0,0,1,1,4,3,1,1,18.285840635351132,19.635425928073378,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,105.0,1.0,19.11382792951231,3.734592692778889,0,1,1,0,0,1,1,0,18.358336179453552,20.697985810283736,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2025,105.0,1.0,19.11382792951231,3.119946199540665,1,0,1,0,0,1,1,0,0.0,20.253476944752624,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2013,102.0,1.0,19.11382792951231,2.9596035494654855,1,0,1,1,2,2,1,1,0.0,20.14431042805583,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024,118.0,1.0,19.11382792951231,3.5681687499184753,0,1,1,1,1,2,1,1,17.433040239831172,19.08346757126065,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9
2013,105.0,1.0,19.11382792951231,3.0290422524355236,0,0,1,0,0,1,1,0,18.02260481315055,18.144182753833164,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2014,125.0,1.0,19.11382792951231,3.8752251612076165,1,0,1,1,7,2,1,1,18.976747222964132,20.102460547044625,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,124.0,1.0,19.11382792951231,2.5918787693401684,0,0,1,1,2,2,1,1,19.403169136109547,20.550099967234782,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,105.0,1.0,19.11382792951231,3.8123808756173148,0,0,1,0,0,1,1,0,20.44695463705561,20.521686324445604,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2011,107.0,1.0,19.11382792951231,3.8508337080834574,1,0,1,1,2,2,1,1,19.915499638752024,20.134093919559845,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,102.0,0.0,19.11382792951231,3.4687555326734465,1,0,1,0,0,2,1,1,13.577496993983335,20.264902477155204,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12
2019,105.0,1.0,19.11382792951231,1.7863686205931786,1,0,1,0,0,1,1,0,19.443462424983657,19.312364894650035,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2021,125.0,1.0,19.11382792951231,0.0,1,0,1,1,5,2,1,1,17.417372332272112,19.275637908092737,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,125.0,0.0,19.11382792951231,3.7656911412060263,0,1,1,1,1,2,1,1,0.0,17.108346666938,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,124.0,0.0,19.11382792951231,3.112798206275378,0,0,1,1,4,2,1,1,18.57892729009663,20.273490628868768,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,125.0,1.0,19.11382792951231,3.441244882791431,0,1,1,0,2,2,1,1,19.737356252134216,19.87480957342295,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,125.0,1.0,19.11382792951231,3.6544215741902484,0,1,1,1,1,2,1,1,17.47209892153427,20.913415253105754,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,125.0,1.0,19.11382792951231,3.14803793440768,0,1,1,1,2,3,1,1,20.3797526985185,20.583081285366685,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,102.0,1.0,19.11382792951231,3.879233182605155,1,0,1,0,2,2,1,1,19.62596580089809,19.62596580089809,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,116.0,0.0,19.11382792951231,3.286232950650149,1,0,1,1,3,2,1,1,17.589313826207277,18.708109493493566,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,110.0,0.0,19.11382792951231,3.332204510175204,1,0,1,1,2,2,1,1,20.74796442610429,20.495280378747175,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,90.0,0.0,19.11382792951231,3.4886566869907414,1,0,1,0,4,2,1,1,18.495223652701032,19.379309702044193,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,113.0,0.0,19.11382792951231,3.000559314302307,1,0,1,0,2,2,1,1,18.799237716843518,19.31921225324706,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,105.0,0.0,19.11382792951231,3.7376696182833684,1,0,1,0,0,1,1,0,19.720214444424798,20.30975489172503,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2024,123.0,0.0,19.11382792951231,3.6676887671342975,0,1,1,0,5,2,1,1,18.28408033876577,19.361461938040254,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,105.0,1.0,19.11382792951231,2.321755009101766,0,0,1,0,0,1,1,0,20.364061994225203,20.542826698464587,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2010,115.0,0.0,19.11382792951231,3.033711521619207,1,0,1,0,2,2,1,1,0.0,0.0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,125.0,0.0,19.11382792951231,3.524461188812509,0,0,1,0,4,2,1,1,17.274017626037605,18.475642685254638,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
2019,114.0,0.0,19.11382792951231,3.033711521619207,1,0,1,1,4,2,1,1,0.0,0.0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,92.0,0.0,19.11382792951231,3.652750730025431,0,1,1,0,2,2,1,1,20.659465178777538,20.57426238388733,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,114.0,0.0,19.11382792951231,3.589771750253297,0,0,1,0,2,2,1,1,20.426819888338983,20.426819888338983,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,85.0,0.0,19.11382792951231,3.648561364870154,0,1,1,0,0,1,1,0,18.621489443331253,17.9932465731097,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,125.0,0.0,19.11382792951231,3.224023841385602,0,1,1,1,4,2,1,1,19.25297054068328,20.86203755703936,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,105.0,0.0,19.11382792951231,3.163158497401505,0,0,1,0,0,1,1,0,18.791031992929277,19.986618484028273,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2020,106.0,0.0,19.11382792951231,4.272175765714429,0,1,1,0,1,2,1,1,20.371270928048208,20.182007245418824,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020,115.0,0.0,19.11382792951231,4.332429693534509,1,0,1,0,2,3,1,1,17.3688062724142,19.53089217175872,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,105.0,0.0,19.11382792951231,2.160724175116693,1,0,1,0,0,1,1,0,19.558995632852657,14.330509063137647,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2022,105.0,0.0,19.11382792951231,3.383843366969004,1,0,1,0,0,1,1,0,16.92055510787761,19.73979941259268,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13
2011,125.0,1.0,19.088510121656228,3.2137011690781834,1,0,1,1,3,2,1,1,19.714258096480023,18.00562419068418,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
